#Note that this is an "architecture" list of clients. For the real client assignments, consult the implementation specs
#Client Name	7278A0		Comments
#	DDR0 Client#	"DDR1
Client#"
XPT_WR_TUNER_RS	0	0	XMEM IF write
XPT_WR_CARD_RS	1	1	XMEM IF write
XPT_WR_CDB	2	2	XMEM IF write
XPT_WR_ITB_MSG	3	3	XMEM IF write
XPT_RD_RS	4	4	XMEM IF read
XPT_RD_CARD_RS	5	5	XMEM IF read
XPT_RD_PB	6	6	XMEM IF read
XPT_WR_MEMDMA	7	7	M2M DMA write
XPT_RD_MEMDMA	8	8	M2M DMA read

SYSPORT_WR	10	10	10/100/1000/2000 network switch interface (Write port, Rx)
SYSPORT_RD	11	11	10/100/1000/2000 network switch interface (Read port, Tx)

PCIE_1	15	15	PCIe - 2nd instance

SATA	17	17	SATA - First (and only) controller/port

BSP	22	22	Broadcom Security Processor  (R/W)- Must be 22
SCPU	23	23	Sage CPU (R/W)- Must be 23
FLASH_DMA	24	24	FLASH_DMA replaces EDU
PCIE_0	25	25	PCIe - 1st instance
SDIO_EMMC	26	26	SDIO eMMC - client is for boot code storage/retrieval
SDIO_CARD	27	27	SDIO  Card - client is for WIFI and video/audio  storage/playback

MCIF_RD	29	29	M-Card, 1st (and only) port (read), (cablecard)
MCIF_WR	30	30	M-Card, 1st (and only) port (write), (cablecard)
UART_DMA_RD	31	31	UART_DMA (for Bluetooth interaction)
UART_DMA_WR	32	32	UART_DMA (for Bluetooth interaction)

USB_X_WRITE_0	35	35	(USB 3.0/2.0/1.0) carries XHCI Write traffic for first USB controller. Controller drives 2 ports.
USB_X_READ_0	36	36	(USB 3.0/2.0/1.0)  carries XHCI Read traffic for first USB controller. Controller drives 2 ports.
USB_X_CTRL_0	37	37	(USB 3.0/2.0/1.0) carries XHCI Control traffic for first USB controller. Controller drives 2 ports.

RAAGA	40	40	RAAGA audio engine - instance 0
RAAGA_1	41	41	RAAGA audio engine - instance 0 / selective RTS

AUD_AIO	44	44	Audio Analog IO
VICE_CME0	45	45	ViCE instance 0 - read only. Input and reference picture luma
VICE_CME1	46	46	ViCE instance 0 - write only. CMV, SAD, Confidence values
VICE_FME	47	47	ViCE instance 0 - CSC & TMVP reads, TMVP writes

VICE_IMD0	49	49	ViCE instance 0 - read only. CMB luma
VICE_IMD1	50	50	ViCE instance 0 - read only. CMB chroma
VICE_DBLK	51	51	ViCE instance 0 - write only. Deblocked, reconstructed MBs
VICE_CABAC0	52	52	ViCE instance 0 - write only. CABAC0 writes ITB to SCB0. (All clear compressed data must be on SCB0)
VICE_CABAC1	53	53	ViCE instance 0 - R/W (CDB and PROB CTX)
VICE_ARCSS0	54	54	ViCE instance 0 - read/write. Firmware code and data
VICE_VIP0_INST0	55	55	ViCE instance 0 - First VIP instance for dual transcode. write only. Luma and 420 chroma
VICE_VIP1_INST0	56	56	ViCE instance 0 - First VIP instance for dual transcode.  read/write. Write: 2h2v_luma, 2h1v_luma. Read: pcc_luma, hist_luma
VICE_VIP0_INST1	57	57	ViCE instance 0 - Second VIP instance for dual transcode. write only. Luma and 420 chroma
